place_id,place_name,source,reviewer_name,rating,review_text,review_time,relative_time,language,review_date,review_text_clean,review_length,sentiment_label,review_year,review_month
ChIJy9b-v6Zz4ToRugWnWhLsGj8,Pedlar's Inn Cafe and Restaurant,google,LaxEats,5,"I loved the food here, came here at 1pm on a holiday and got seated with no wait. The jumbo prawns with the spaghetti was the most delicious meal I’ve had. There were four prawns and the meat inside was a big portion and very juicy. I’d definitely come back here. My table mates got the beef and fish rice and curry and it was delicious as well. The mocha leaves something to be desired because it’s mostly foam but the fruit juice is incredible!",1772440576,2 months ago,en,2026-03-02 08:36:16,i loved the food here came here at 1pm on a holiday and got seated with no wait the jumbo prawns with the spaghetti was the most delicious meal i ve had there were four prawns and the meat inside was a big portion and very juicy i d definitely come back here my table mates got the beef and fish rice and curry and it was delicious as well the mocha leaves something to be desired because it s mostly foam but the fruit juice is incredible ,89,positive,2026,3
ChIJy9b-v6Zz4ToRugWnWhLsGj8,Pedlar's Inn Cafe and Restaurant,google,Muhammad Haseeb Asghar,4,"First night in Sri Lanka, and Galle truly set the tone with its beautiful views and relaxed atmosphere. After wandering through the streets of Galle, we decided to dine here, and it turned out to be a great choice. We ordered sandwiches, pizza, and the chicken curry on the chef’s recommendation. The food did take a while to arrive, but the taste more than made up for the wait. They welcomed us with complimentary coconut water, which was a nice touch and instantly refreshing. The ambience was pleasant, the dishes were well presented, and everything tasted fresh and flavourful. The pizza, in particular, was so good that we still remembered its taste on our last day. If I ever visit Galle again, I would definitely come back here.",1768743113,3 months ago,en,2026-01-18 13:31:53,first night in sri lanka and galle truly set the tone with its beautiful views and relaxed atmosphere after wandering through the streets of galle we decided to dine here and it turned out to be a great choice we ordered sandwiches pizza and the chicken curry on the chef s recommendation the food did take a while to arrive but the taste more than made up for the wait they welcomed us with complimentary coconut water which was a nice touch and instantly refreshing the ambience was pleasant the dishes were well presented and everything tasted fresh and flavourful the pizza in particular was so good that we still remembered its taste on our last day if i ever visit galle again i would definitely come back here ,130,positive,2026,1
ChIJCZZdp7tz4ToRUU82jjTGM68,KFC - Galle,google,Hasanga Fernando,4,"About 10 years ago, while visiting Galle with friends, we stopped by KFC. The food quality was satisfactory, and although we had to wait a little, the service was acceptable. Seating space was decent and the overall experience felt better at that time. Compared to those days, the recent standards and experience don’t feel as good or consistent.",1768013374,4 months ago,en,2026-01-10 02:49:34,about 10 years ago while visiting galle with friends we stopped by kfc the food quality was satisfactory and although we had to wait a little the service was acceptable seating space was decent and the overall experience felt better at that time compared to those days the recent standards and experience don t feel as good or consistent ,60,positive,2026,1
ChIJCZZdp7tz4ToRUU82jjTGM68,KFC - Galle,google,Eng Siong Lee,3,"Food and services provided was reasonably alright. Bit the place were hot and humid, not really clean including the toilet. Zinger burger was the smallest that I have ever eaten.",1759390622,7 months ago,en,2025-10-02 07:37:02,food and services provided was reasonably alright bit the place were hot and humid not really clean including the toilet zinger burger was the smallest that i have ever eaten ,31,neutral,2025,10
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,google,Gomeda Gunawardhane,4,A decent spot to have an incredible dinner. Open kitchen. Exceptionally delectable food and I love the spot. The staff were amicable and they treated us so well. In reality we didn't needed to stand by long. Wanting to visit there once more.,1628670179,4 years ago,en,2021-08-11 08:22:59,a decent spot to have an incredible dinner open kitchen exceptionally delectable food and i love the spot the staff were amicable and they treated us so well in reality we didn t needed to stand by long wanting to visit there once more ,45,positive,2021,8
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,google,blackbullss DIN,4,"It’s a good place to get food around Galle fort. Fair prices considering other places. Bought a mixed fried rice. Good quality food. Think I tasted stock powder though, not overwhelming taste of it though.",1728790653,a year ago,en,2024-10-13 03:37:33,it s a good place to get food around galle fort fair prices considering other places bought a mixed fried rice good quality food think i tasted stock powder though not overwhelming taste of it though ,37,positive,2024,10
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,google,Karthik Venkata,5,"This is a simple place, situated next to Fort on Rampart Street. They do arrange seating next to road. The place does not provide WiFi. The staff was extremely friendly and one of the person knew Hindi too. The prices on the menu were reasonable (when compared to other places in the vicinity). We had ordered Tomato and cheese sandwich, chicken burger and Egg and cheese macaroni. The items were prepared pretty quickly and they tasted damn delicious. It is possible to take-out (parcel) food here. It is kind of open kitchen and one can see food being cooked. Definitely a decent hang-out place for someone who wants to spend time close to beach with nice tasting food.",1506888684,8 years ago,en,2017-10-01 20:11:24,this is a simple place situated next to fort on rampart street they do arrange seating next to road the place does not provide wifi the staff was extremely friendly and one of the person knew hindi too the prices on the menu were reasonable when compared to other places in the vicinity we had ordered tomato and cheese sandwich chicken burger and egg and cheese macaroni the items were prepared pretty quickly and they tasted damn delicious it is possible to take out parcel food here it is kind of open kitchen and one can see food being cooked definitely a decent hang out place for someone who wants to spend time close to beach with nice tasting food ,121,positive,2017,10
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,google,vancity central ris604,5,Hasitha was a grate host and food was delicious.  I tried chicken fried rice and hot butter cuttlefish.  Both were very freshly prepared and served while hot n steaming.  I would definitely recommend.,1660725157,3 years ago,en,2022-08-17 08:32:37,hasitha was a grate host and food was delicious i tried chicken fried rice and hot butter cuttlefish both were very freshly prepared and served while hot n steaming i would definitely recommend ,34,positive,2022,8
ChIJf1nWzqZz4ToRrs3iEowxVJw,Cafe Hula Hula,google,sudam manudith,5,Their seafood pasta and the chicken pasta are amazing. Prices are reasonable and the portion is very generous compared to the other places inside the galle fort. Cozy place and the owner is very polite. Loved it and will be soon visiting again.,1647970330,4 years ago,en,2022-03-22 17:32:10,their seafood pasta and the chicken pasta are amazing prices are reasonable and the portion is very generous compared to the other places inside the galle fort cozy place and the owner is very polite loved it and will be soon visiting again ,44,positive,2022,3
ChIJj1KrhaZz4ToRCIdXqUVnpig,Fort Bazaar,google,Savana Varshavski,5,"We came for the restaurant, looks luxury and beautiful. Choose to sit inside, outside was still a bit hot. Service was excellent, food fresh and tasty. A little bit overpriced. But not too much. Perfect for the dinner or romantic date. But even for the kids is good, pizza was good. I was impressed with the butter, how it was served and smallest bread that I ever saw.",1771315365,2 months ago,en,2026-02-17 08:02:45,we came for the restaurant looks luxury and beautiful choose to sit inside outside was still a bit hot service was excellent food fresh and tasty a little bit overpriced but not too much perfect for the dinner or romantic date but even for the kids is good pizza was good i was impressed with the butter how it was served and smallest bread that i ever saw ,69,positive,2026,2
